
---------- Begin Simulation Statistics ----------
simSeconds                                   0.121895                       # Number of seconds simulated (Second)
simTicks                                 121895169500                       # Number of ticks simulated (Tick)
finalTick                                121895169500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    311.13                       # Real time elapsed on the host (Second)
hostTickRate                                391779443                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1105020                       # Number of bytes of host memory used (Byte)
simInsts                                     70117161                       # Number of instructions simulated (Count)
simOps                                      130215692                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   225360                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     418519                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       225501357                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              5.621206                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.177898                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       74078712                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     463                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      74041211                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   571                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             3865379                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          2408830                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                157                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          225353366                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.328556                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.115724                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                202243836     89.75%     89.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4392127      1.95%     91.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  6205272      2.75%     94.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1908053      0.85%     95.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4444508      1.97%     97.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3740462      1.66%     98.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1902886      0.84%     99.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   513053      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     3169      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            225353366                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 491357     99.62%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     99.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     99.62% # attempts to use FU when none available (Count)
